City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,belmonte,-15.8631,-38.8828,23.02,85,100,5.32,BR,1699317218
83,edinburgh of the seven seas,-37.0676,-12.3116,15.66,97,99,12.65,SH,1699317218
84,ushuaia,-54.8,-68.3,10.81,94,40,5.14,AR,1699317028
85,pacific grove,36.6177,-121.9166,17.98,86,40,2.24,US,1699317180
86,tetiiv,49.3767,29.6647,8.98,77,13,5.54,UA,1699317219
87,hola,51.5377,23.1902,8.1,82,6,4.27,PL,1699317219
88,lebu,-37.6167,-73.65,12.47,93,100,5.22,CL,1699317219
89,kodiak,57.79,-152.4072,2.73,65,0,0.0,US,1699317220
90,iqaluit,63.7506,-68.5145,-10.15,85,100,3.6,CA,1699317220
91,mount isa,-20.7333,139.5,35.87,11,0,4.63,AU,1699317220
92,flying fish cove,-10.4217,105.6791,26.82,83,100,4.63,CX,1699317220
93,praia,14.9215,-23.5087,26.3,78,20,8.23,CV,1699317221
94,georgetown,5.4112,100.3354,26.96,100,20,2.06,MY,1699316963
95,aketi,2.7388,23.7833,21.31,99,100,1.21,CD,1699317221
96,masterton,-40.9597,175.6575,12.34,97,100,3.07,NZ,1699317221
97,prymors'k,46.7348,36.3443,11.03,75,0,3.3,UA,1699317222
98,saint-francois,46.4154,3.9054,9.26,76,75,3.09,FR,1699317222
99,porto novo,6.4965,2.6036,24.9,88,100,1.2,BJ,1699317222
100,port mathurin,-19.6833,63.4167,24.58,77,6,4.92,MU,1699317223
101,puerto natales,-51.7236,-72.4875,4.87,91,63,1.89,CL,1699317223
102,tacuarembo,-31.7333,-55.9833,16.05,93,0,2.71,UY,1699317206
103,borodulikha,50.7184,80.9295,-3.4,67,81,3.88,KZ,1699317223
104,eforie sud,44.0229,28.6494,11.56,70,5,3.62,RO,1699317223
105,detroit lakes,46.8172,-95.8453,1.59,94,100,5.14,US,1699317078
106,thompson,55.7435,-97.8558,-6.91,63,75,1.54,CA,1699317224
107,invercargill,-46.4,168.35,12.23,77,100,3.13,NZ,1699317111
108,dekalb,33.7504,-84.2333,18.75,67,0,0.0,US,1699317224
109,saudarkrokur,65.7461,-19.6394,-0.18,73,100,2.43,IS,1699317225
110,sinop,41.7711,34.8709,12.79,66,6,2.01,TR,1699317225
111,izhmorskiy,56.194,86.6414,-11.4,99,87,0.35,RU,1699317225
112,brisas de zicatela,15.8369,-97.0419,29.29,58,75,2.06,MX,1699317225
113,arashiyama,43.7936,142.311,13.6,94,75,2.06,JP,1699317225
114,szerencs,48.1667,21.2,7.86,89,1,1.84,HU,1699317226
115,tura,25.5198,90.2201,18.29,81,0,1.39,IN,1699317226
116,gwadar,25.1216,62.3254,24.81,72,3,2.24,PK,1699317226
117,college,64.8569,-147.8028,-6.97,89,100,0.0,US,1699317226
118,lekeitio,43.3666,-2.5007,10.27,79,52,4.3,ES,1699317226
119,kanggye,40.9695,126.5852,-3.35,69,40,0.66,KP,1699317227
120,whitehorse,60.7161,-135.0538,-1.57,87,75,5.66,CA,1699317227
121,howrah,22.5892,88.3103,22.0,88,20,1.54,IN,1699317227
122,chake chake,-5.2459,39.7666,24.54,88,96,1.89,TZ,1699317227
